annual_income,code,hourly_income,industry_code,total_emp,label,automation_probability,rank
53370,49-3042,25.66,1235,140260,,0.4,272
56020,49-3043,26.93,1235,24720,,0.88,521
42330,49-3051,20.35,1235,22280,,0.66,368
39260,49-3052,18.87,1235,15090,,0.79,435
36940,49-3053,17.76,1235,31760,,0.93,578
30290,49-3091,14.56,1235,12200,,0.94,596
40090,49-3092,19.28,1235,15560,,0.59,329
29530,49-3093,14.2,1235,111620,,0.7,384
43350,49-9011,20.84,1235,22670,,0.91,547
57890,49-9012,27.83,1235,51730,,0.63,347
54000,49-9041,25.96,1235,362440,,0.67,374
48720,49-9043,23.42,1235,80270,,0.86,499
56250,49-9044,27.04,1235,43810,,0.59,325
52510,49-9045,25.24,1235,1120,,0.82,451
70240,49-9051,33.77,1235,114800,,0.097,166
59000,49-9052,28.36,1235,118200,,0.49,297
42540,49-9061,20.45,1235,3690,,0.97,658
52710,49-9062,25.34,1235,46320,,0.27,232
39110,49-9063,18.81,1235,8450,,0.91,545
44830,49-9064,21.55,1235,2610,,0.99,697
36390,49-9091,17.49,1235,32920,,0.94,597
59470,49-9092,28.59,1235,3380,,0.18,202
33550,49-9093,16.13,1235,400,,0.96,640
43740,49-9094,21.03,1235,16970,,0.77,420
32910,49-9095,15.82,1235,2920,,0.18,203
51330,49-9096,24.68,1235,20970,,0.89,527
67800,49-9097,32.6,1235,7730,,0.9,543
31390,49-9098,15.09,1235,105040,,0.79,434
36610,51-2021,17.6,1235,12190,,0.73,403
36170,51-2091,17.39,1235,21190,,0.93,575
37460,51-2093,18.01,1235,780,,0.98,690
33210,51-3021,15.97,1235,133670,,0.93,583
27790,51-3022,13.36,1235,156440,,0.94,593
28450,51-3023,13.68,1235,75550,,0.6,333
32730,51-3091,15.74,1235,21060,,0.91,548
32090,51-3092,15.43,1235,160160,,0.7,385
31690,51-3093,15.23,1235,32260,,0.61,341
41960,51-4011,20.17,1235,148150,1,0.86,498
56300,51-4012,27.07,1235,23770,,0.36,253
36620,51-4021,17.61,1235,75610,,0.91,560
40770,51-4022,19.6,1235,18330,,0.93,587
40790,51-4023,19.61,1235,26700,,0.83,471
36180,51-4031,17.4,1235,186640,,0.78,427
41490,51-4032,19.95,1235,11400,,0.94,590
36690,51-4033,17.64,1235,71870,,0.95,624
41090,51-4034,19.76,1235,29510,,0.84,477
44490,51-4035,21.39,1235,19440,,0.98,678
41810,51-4051,20.1,1235,17670,,0.88,516
39670,51-4052,19.07,1235,7850,,0.87,503
56920,51-4061,27.36,1235,5210,,0.93,581
47130,51-4062,22.66,1235,2880,,0.9,539
36820,51-4071,17.7,1235,15600,,0.67,370
33950,51-4072,16.32,1235,164110,,0.95,620
44360,51-4121,21.33,1235,389190,,0.94,598
39160,51-4122,18.83,1235,35080,,0.61,342
39050,51-4191,18.77,1235,19690,,0.91,556
47380,51-4192,22.78,1235,8170,,0.84,476
34830,51-4193,16.74,1235,40070,,0.92,569
40890,51-4194,19.66,1235,7070,,0.88,520
42240,51-5111,20.31,1235,29990,,0.97,660
38470,51-5112,18.49,1235,173470,,0.83,466
34850,51-5113,16.76,1235,45690,,0.95,618
29800,51-6041,14.33,1235,8640,,0.52,304
30110,51-6042,14.47,1235,3810,,0.97,647
29510,51-6051,14.19,1235,5350,,0.99,700
34330,51-6052,16.5,1235,21150,,0.84,479
29930,51-6061,14.39,1235,9330,,0.97,650
29440,51-6062,14.16,1235,13310,,0.95,612
30470,51-6063,14.65,1235,21190,,0.73,400
29660,51-6064,14.26,1235,31650,,0.96,637
35500,51-6091,17.07,1235,18130,,0.88,518
49180,51-6092,23.65,1235,5220,,0.0049,26
35920,51-6093,17.27,1235,32870,,0.39,267
52590,51-7031,25.29,1235,740,,0.96,636
59650,51-7032,28.68,1235,530,,0.91,559
31200,51-7041,15,1235,52260,,0.86,493
31110,51-7042,14.96,1235,78980,,0.97,645
95310,51-8011,45.82,1235,6280,,0.95,614
85340,51-8012,41.03,1235,11620,,0.64,355
78030,51-8013,37.51,1235,33920,,0.85,486
61570,51-8091,29.6,1235,28190,,0.85,487
71470,51-8092,34.36,1235,14620,,0.78,429
70630,51-8093,33.96,1235,38930,,0.71,389
58300,51-8099,28.03,1235,12270,,0.86,491
51070,51-9011,24.55,1235,82880,,0.76,416
44140,51-9012,21.22,1235,49770,,0.88,517
38060,51-9021,18.3,1235,31890,,0.97,652
31900,51-9022,15.34,1235,30280,,0.97,653
39360,51-9023,18.92,1235,128600,,0.83,462
31600,51-9031,15.19,1235,10580,,0.64,351
35700,51-9032,17.16,1235,60840,,0.86,496
43180,51-9081,20.76,1235,34480,,0.97,651
42180,51-9082,20.28,1235,14670,,0.45,284
34490,51-9083,16.58,1235,27960,,0.97,656
36510,51-9121,17.55,1235,88560,,0.91,551
46460,51-9122,22.34,1235,55710,,0.69,382
33960,51-9123,16.33,1235,12200,,0.92,567
35850,51-9191,17.23,1235,16310,,0.95,622
33090,51-9192,15.91,1235,17630,,0.81,445
34520,51-9193,16.6,1235,8820,,0.93,574
34550,51-9194,16.61,1235,8600,,0.98,682
35190,51-9195,16.92,1235,42500,,0.9,540
40320,51-9196,19.38,1235,97960,,0.67,369
45530,51-9197,21.89,1235,23920,,0.94,605
29380,51-9198,14.12,1235,350410,,0.66,365
169560,53-2011,,1235,82890,,0.18,204
96530,53-2012,,1235,37870,,0.55,314
120830,53-2021,58.09,1235,22390,,0.11,178
56760,53-2022,27.29,1235,9960,,0.71,388
44650,53-3021,21.47,1235,174110,1,0.67,372
33390,53-3022,16.05,1235,504150,,0.89,525
29610,53-3031,14.24,1235,414860,,0.98,674
45570,53-3032,21.91,1235,1800330,,0.79,431
36920,53-3033,17.75,1235,915310,1,0.69,380
66920,53-4011,32.17,1235,34850,,0.96,638
69030,53-4012,33.19,1235,560,,0.93,579
54640,53-4013,26.27,1235,5690,,0.91,553
82380,53-5021,39.61,1235,36390,,0.27,230
50350,53-5022,24.21,1235,2510,1,0.62,343
47500,53-7031,22.84,1235,1190,,0.92,564
48680,53-7032,23.4,1235,46090,,0.94,602
51450,53-7033,24.73,1235,2500,,0.5,299
26900,53-7061,12.93,1235,378850,,0.37,256
30890,53-7062,14.85,1235,2893180,,0.85,483
31710,53-7063,15.24,1235,66380,,0.93,580
26490,53-7064,12.74,1235,663970,,0.38,264
62900,53-7071,30.24,1235,3460,,0.91,549
47510,53-7072,22.84,1235,10820,,0.9,542
53870,53-7073,25.9,1235,13280,,0.84,480
